at	2026-09-21 13:08:41.776
orders	CLOSED	21
orders	RECHARGE_FAILED	37
orders	RECHARGE_SUCCESS	20
open_cases	0
open_alerts	113
retained_ledger	2
cancellation_review	7
audit	10
notification	349925	CANCELLED	1	2026-09-11 07:45:52.614	1
notification	352006	CANCELLED	1	2026-09-11 10:40:01.271	1
notification	352425	CANCELLED	1	2026-09-11 11:14:59.679	1
notification	373627	CANCELLED	1	2026-09-12 16:49:19.235	1
notification	380578	CANCELLED	1	2026-09-13 02:30:34.257	1
notification	380925	CANCELLED	1	2026-09-13 02:59:26.330	1
notification	381454	CANCELLED	1	2026-09-13 03:43:14.822	1
notification	384194	CANCELLED	1	2026-09-13 07:32:23.176	1
notification	385455	CANCELLED	1	2026-09-13 09:17:46.794	1
notification	438347	CANCELLED	1	2026-09-16 11:09:36.261	1
